id,kalimat,sentiment
54,"Purbaya: IHSG Naik Terus, Rupiah Tinggal Tunggu Waktu!",POSITIF
55,Ketidakpastian Ekonomi Pengaruhi Penerapan ESG? Ini Kata BRI,NETRAL
56,OJK Rilis 2 Aturan Baru Bikin Kuat Industri Asuransi dan Dana Pensiun,NETRAL
57,KB Bank (BBKP) Beri PNM Fasilitas Pembiayaan Rp500 Miliar,NETRAL
58,"Begini Modus Teller BRI Tilap Uang Nasabah Rp 2,3 M di Makassar",NEGATIF
59,"Indeks Bisnis-27 Ditutup Rebound Menguat Didorong Laju ADMR, JPFA dan TLKM Cs",NETRAL
60,"Wall Street Dibuka Turun Kamis (12/3), Minyak Dekati US$100 Picu Kekhawatiran Inflasi",NETRAL
61,Komisaris Triputra Agro (TAPG) Borong Saham di Harga Rp 1.490,NETRAL
62,"Kehilangan Uang, Puluhan Nasabah Lapor ke BRI",NEGATIF
63,"Moody’s Pangkas Outlook Kredit Indonesia, Begini Proyeksi Rupiah untuk Senin (9/2)",NETRAL
64,BRI Gali Potensi Ekonomi Wilayah 3T Lewat Pemberdayaan,NETRAL
65,"Purbaya 'Pede' IHSG Segera Rebound, Ketua OJK Definitif Terpilih Dua Pekan Lagi",NETRAL
66,Begini Cara Kerja Pelaku Skimming Nasabah BRI,NEGATIF
67,BRI Gelar Pemberdayaan Ekonomi Sosial Bagi 190 Ribu Mustahik,POSITIF
68,"Segera Digugat Pailit Eks Karyawan, BRI: Kami Sudah Bayar Pesangon",NEGATIF
69,Danantara Terapkan 3 Model Ini Untuk Pangkas BUMN Jadi 300,NEGATIF
70,BRI Luncurkan Layanan Perbankan di Kapal,POSITIF
71,BEI Update Progres Free Float 15% hingga Transparansi Pemegang Saham,NETRAL
72,"Korupsi Rp 29 M di Bank BRI Tamini Square, Kasasi Jaksa Dikabulkan",NEGATIF
73,DPR Respons Ide Bangun BUMN Tekstil Rp100 T: Uang Rakyat - Pasti Mati!,POSITIF
74,"Optimis Fokus di UMKM, BRI Bukukan Laba Fantastis di Semester I",POSITIF
75,"Valas Asia Fluktuatif, Analis Sebut Penguatan Masih Terbatas",NETRAL
76,"Cair Setelah Lebaran, Catat Jadwal Cum Dividen BCA (BBCA) 2026",NETRAL
77,"Video: Rumor Saham IPO 2026, Ada Platform DANA-Vidio!",NETRAL
78,"Pimpin BRI, Sunarso Siap Bikin Fintech",POSITIF
79,"Video: Sinyal Trump Setop Perang Iran, IHSG & Rupiah Kompak Menguat",NETRAL
80,"Harga Minyak Dunia Kembali Mendidih, Begini Prospek Emiten Migas",NETRAL
81,"Luncurkan Kluster Hunian Baru, Simak Rekomendasi Saham Bumi Serpong Damai (BSDE)",NETRAL
82,"BRI Tegaskan KUR Bukan Hibah dan Bukan Bantuan, Harus Dikembalikan",NETRAL
83,Bos BRI Beberkan Kunci Sukses Transformasi Digital & Culture,POSITIF
84,"Trader Misterius Pasang Taruhan Penangkapan Maduro, Cuan Rp6,7 M",POSITIF
85,Aset BRI Tembus Rp 1.619 Triliun di kuartal III 2021,POSITIF
86,Polisi Periksa Satpam Bank BRI Condet,NEGATIF
87,"Pakai Uang Nasabah Rp 1 M, Ini Modus Pegawai BRI di Payakumbuh Sumbar",NEGATIF
88,"Tren Harga Emas yang Kian Cemerlang, Prospek Kinerja BRMS Kian Mentereng",NEGATIF
89,"Kasus 51 Kg Emas Batangan Palsu, BRI Tindak Karyawan Nakal",NEGATIF
90,TOBA Kebut Proyek PLTS di Batam dan Sulap 1 Juta Ton Sampah Jadi Cuan,NETRAL
91,BRI Komitmen Sejahterakan Karyawan Melalui Buyback Saham,POSITIF
92,Dirut BRI: UMKM Jauh Dari Pusat Gempa Ekonomi Global,POSITIF
93,"Catatkan Sejarah UMKM, BRI Resmi Jadi Induk Holding BUMN Ultra Mikro",NETRAL
94,Settlement EDC belum Dibayarkan oleh BRI,NEGATIF
95,"Allo Bank (BBHI) Cetak Laba Rp574 Miliar, Melonjak 23% di 2025",NETRAL
96,Laba Bersih BRI Agro Naik 40 Persen,POSITIF
97,"Wall Street Rebound, Saham Teknologi Pulih tapi Dibayangi Kekhawatiran Belanja AI",NETRAL
98,Harga Aluminium Global Melonjak di Tengah Ketegangan AS–Iran dan Gangguan Pasokan,NETRAL
99,"Resesi Masih Menghantui, BRI Tetap Optimistis Kredit Tumbuh hingga 12%",POSITIF
100,"Direktur Utama BRI Sunarso Beli Saham BBRI Rp 1,3 Miliar",POSITIF
101,"IHSG Ambrol Dekati Level 7.000 Jelang Libur Lebaran, Investor Harus Bagaimana?",NETRAL
102,"IHSG Terkoreksi, Cermati Saham-Saham Net Sell Terbesar Asing pada Kamis (8/1)",NETRAL
103,"Bitcoin Terkoreksi ke US$ 70.000 Usai FOMC, Tertekan Sentimen Suku Bunga Tinggi",NETRAL
104,"Brankas Unit BRI di Pekanbaru Dibobol Maling, Rp 378 Juta Lenyap",NEGATIF
105,Segini Jumlah Tabungan Ideal Ketika Usia 50 Tahun Versi Ahli Keuangan,POSITIF
106,"Asing Banyak Jual Saham BBCA hingga EMTK, Net Sell Capai Rp17,34 Triliun pada 2025",NETRAL
107,Pengamat Pasar Modal Sebut BRI Unggul di Investasi Hijau Berkat Penerapan Prinsip ESG,POSITIF
108,"Sunarso, Person of The Month, Direktur Utama BRI",POSITIF
109,"Video: Inovasi MMIX, Kembangkan Popok Anti-Bocor Hingga Ekspor ke AS",NEGATIF
110,"IHSG Anjlok 1,37% ke 8.951 dalam Sepekan, Cermati Faktor Pemicunya",NETRAL
111,"BRIsat, Momentum Kebangkitan Satelit Indonesia",POSITIF
112,BRI Insurance Terus Berinovasi Tingkatkan Value Perusahaan,POSITIF
113,"Ogah Jual Nama Orang Tua, Anak Pejabat Ini Pilih Hidup Susah",POSITIF
114,Sistem Pembayaran Digital BRI Dipakai Pengusaha SPBU dan Agen LPG 3 Kg,POSITIF
115,"Usai Rapat dengan MSCI, Bos Danantara Blak-Blakan Ungkap Saham Idaman",NEGATIF
116,Saham Emiten Bakrie dan CT Bersinar Saat IHSG Tertekan Sepekan,NETRAL
117,BRI-Majoo Kolaborasi Beri Solusi Digital untuk Merchant di RI,POSITIF
118,"Kinerja UNVR Diproyeksi Solid pada 2026, Cermati Rekomendasi Analis",NETRAL
119,Inilah Isi Selebaran di Lokasi ATM BRI yang Dibakar,NEGATIF
120,"Dorong Pengelolaan Keuangan Cerdas, BNI Hadirkan 'Insight' di wondr",NEGATIF
121,Perampok Bergolok Sikat Uang Rp 7 Juta Milik Nasabah BRI Tambun,NEGATIF
122,Kinerja IDX BUMN20 Tumbuh Positif di Tengah Volatilitas Pasar,NETRAL
123,Simak! Ini Penyebab Laba BRI Melesat 67% Jadi Rp 51 T di 2022,POSITIF
124,"Rekomendasi Saham dan Pergerakan IHSG Hari Ini, Rabu 18 Februari 2026",NETRAL
125,Jurus Jitu Kolaborasi BRI-Polri Ungkap Pelaku Pembuat dan Penyebar APK Palsu,POSITIF
126,Detik-Detik OJK & Polri Geledah Kantor Mirae Asset Sekuritas,NETRAL
127,"Jadi 'Dewa Penolong', BRI Incar Porsi Kredit UMKM 85% di 2024",POSITIF
128,"Cegah Skimming Meluas, BRI Blokir 2.500 ATM Nasabahnya",NEGATIF
129,"Saham Tambang Solid Dorong IHSG Awal 2026, AMMN & BRMS Kontributor Utama",NETRAL
130,Rosan Jabat Ketua Umum Masyarakat Ekonomi Syariah Periode 2026-2031,NEGATIF
131,"ATM BRI Pekanbaru Dibobol Maling, Rp 750 Juta Amblas",NEGATIF
132,"Nasabah BCA, BNI, Mandiri, BTN & BRI Diminta Ubah Kartu ATM ke Chip",NETRAL
133,Dirut BRI: Tidak Benar Ada Virus Corona di Gedung BRI 2,NEGATIF
134,"Belajar dari Skandal LIBOR, BI Pakai INDONIA Jadi Acuan Pasar Uang RI",NETRAL
135,"Strategi Kelola THR Agar Tetap Produktif, Ini Empat Caranya Versi IPOT",NETRAL
136,Pembunuh Karyawati BRI di Medan Divonis Seumur Hidup,NEGATIF
137,"Video: Emas Dominasi Transaksi Bursa Berjangka, Prospeknya Sebesar Ini",NEGATIF
138,Teler BRI Penilep Dana PIP Sudah Diberhentikan,NEGATIF
139,"Bawa Kabur Uang Nasabah Rp 900 Juta, Satpam BRI Ditangkap",NEGATIF
140,BRI Danareksa Sekuritas Tuntaskan Penjaminan Emisi Rp80 Triliun di 2022,POSITIF
141,"Harga Emas Kembali Melejit, Begini Efeknya Bagi Emiten Produsen Emas",NETRAL
142,BRI Gelar UMKM Export Brilian Prenuer 2019,NETRAL
143,"Sentimen Pasar Membaik, Ada Potensi Bitcoin Menuju ke Level US$ 100.000",NETRAL
144,"Ramadhan, BRI Bagikan Paket Sembako Rp 5 M ke Panti Asuhan & Jompo",POSITIF
145,"Lift di Gedung BRI Terjatuh, Dua Orang Luka-luka",NEGATIF
146,"3 Investasi yang Dilakukan Nabi Muhammad, Bisa Jadi Contoh",NEGATIF
147,Polisi Bekuk Pembobol BRI Padang Sidempuan Rp 970 Juta,NEGATIF
148,"Kenaikan IHSG Ditopang Net Buy Jumbo Asing, Cermati Saham yang Banyak Diborong",NETRAL
149,"Transaksi Saham BUMI Tembus Rp 1,73 Triliun, Sahamnya Justru Anjlok",NETRAL
150,"Poundsterling Menguat, Pasar Menanti Data Ekonomi Inggris dan Kelanjutan Greenland",NETRAL
151,"IHSG Menguat 22,13% Sepanjang 2025, Ini Saham Paling Banyak Dibeli Asing",NETRAL
152,"Kinerja Total Bangun Persada (TOTL) Positif pada 2025, Simak Rekomendasi Sahamnya",NETRAL
153,"Gokil! Transaksi Agen BRILink Nyaris Tembus Rp 1,3 Kuadriliun",POSITIF
154,"Perampok Sekap Pegawai dan Nasabah BRI di Ciamis, Uang Rp 126 Juta Raib",NEGATIF
155,"Sukses Implementasikan ESG, BRI Borong 3 Penghargaan",POSITIF
156,"Alarm BRI Bunyi, Kawanan Perampok di Bekasi Gagal Curi Brankas",NEGATIF
157,"IHSG Fluktuatif, Pasar Waran Terstruktur Tetap Tumbuh Subur",NETRAL
158,"Strategi Investasi Direktur Allo Bank, dari Reksadana ke Portofolio Terdiversifikasi",NEGATIF
159,"Seorang Karyawan Reaktif Covid-19, Kantor BRI Masaran Sragen Sempat Ditutup",NEGATIF
160,Purbaya Ramal IHSG Balik 'Hijau' Pekan Depan,POSITIF
161,BSI (BRIS) Siap Rilis Simpanan Emas Akhir Februari 2026,NETRAL
162,"Industri Kripto Indonesia Terus Berkembang, Regulasi Makin Matang",NETRAL
163,Pengguna M-Banking BRI BRImo Tumbuh 66 Persen pada Semester I 2022,POSITIF
164,Fitch Naikan Rating BRI Jadi AAA dengan Outlook Stabil,POSITIF
165,"IHSG Terjun Bebas, Evaluasi MSCI Ancam Status Pasar Indonesia",NETRAL
166,"BRI Jual Sukuk Rp 750 M, Tapi Pesananan Rp 1 T, Laris Manis!",POSITIF
167,"Rupiah Ditutup Menguat pada Akhir Pekan Ini, Begini Kata Pengamat",NETRAL
168,"RMK Energy (RMKE) Buyback Saham Rp 200 Miliar Tanpa RUPS, Ini Tujuan dan Dampaknya",NETRAL
169,Bukopin Apresiasi Bantuan Asistensi yang Diberikan BRI,POSITIF
170,"Pasar Global Dibayangi Geopolitik, Arah Suku Bunga Jadi Kunci",NETRAL
171,Perayaan Hari Pelanggan Nasional Ditutup BANK BRI dengan Parade Simpatik,NETRAL
172,Dana Titipan Pemerintah Di BRI Sudah Disalurkan Pada 716.815 Nasabah,POSITIF
173,"Dapat Dukungan Airlangga, OJK Bakal Bentuk Satgas Reformasi Integritas Pasar Modal",NETRAL
174,2 Tersangka Pembakar ATM BRI Dijerat Pasal Terorisme,NEGATIF
175,"Purbaya: IHSG Masih Bisa To The Moon, Tembus 10.000",NEGATIF
176,Intip Target Saham BCA (BBCA) Terbaru Senin (2/3),NETRAL
177,Rektor UI Ari Kuncoro Mundur dari Wakil Komisaris Utama BRI,NEGATIF
178,BRI Life Serahkan Pembayaran Klaim Nasabah Tutup Usia Rp 1 Miliar,POSITIF
179,"Terbukti Korupsi, Dua Pimpinan BRI Divonis 16 dan 6 tahun",NEGATIF
180,"Mudahkan Masyarakat, BANK BRI Resmikan E-Banking Hybrid Lounge",POSITIF
181,BRI Luncurkan Program Pendidikan & Sertifikasi 1.000 Tenaga Pekerja,POSITIF
182,KPK Periksa Polisi yang Kenalkan Jaksa Seno dengan Petugas BRI,NEGATIF
183,"Mesin EDC BRIlink Rusak, Mohon Percepat Perbaikannya!",NEGATIF
184,Video: 5 Modal Asuransi Life Perkuat Bisnis-Kembangkan Produk Syariah,NEGATIF
185,"10 Tempat Beli Saham untuk Pemula yang Aman, Praktis, dan Mudah",NEGATIF
186,"Dukung UMKM, BRI & Tulola Hadirkan Kawan Nusantara 2022",POSITIF
187,Mobil Tabrak 8 Motor di Area Parkir BRI Madiun Terekam CCTV,NEGATIF
188,"Kinerja Solid, BRI Akan Terus Tebar Dividen 70 Persen dari Laba Bersih",POSITIF
189,Dari Tempat Inilah BRIsat Dikendalikan,NETRAL
190,Kantor BRI Garut Diteror Bom,NEGATIF
191,"Rupiah Menguat Terbatas, Pasar Masih Waspadai Risiko Geopolitik Global",NETRAL
192,BRI Ingatkan Masyarakat Segera Ganti Kartu Terindikasi Skimming,NEGATIF
193,"Ekspansi Grup CUAN Membuka Ruang Pertumbuhan PTRO, Cek Rekomendasi Sahamnya",NETRAL
194,"BRI Kantongi Laba Rp 12,22 Triliun, Tumbuh 78,13 Persen pada Kuartal I 2022",POSITIF
195,Erick Thohir Apresiasi Sinergi BRI-Telkom Tingkatkan Layanan Satelit,POSITIF
196,BRI Kantongi Laba Rp 24 Triliun,POSITIF
197,BritAma FSTVL Jilid 4 Hadirkan Hadiah Ramah Lingkungan,POSITIF
198,"Cermati Rekomendasi Saham Teknikal TOWR, PANI, ANTM untuk Rabu (4/2)",NETRAL
199,"Purbaya Prediksi IHSG Tembus 10.000 pada 2026, Realistis Dicapai?",NETRAL
200,BRI Danareksa Sekuritas Incar Transaksi Brokerage Naik 48% Tahun Ini,POSITIF
201,"Dicuekin, Dicurigai hingga Diancam Dilaporkan, Pionir Agen BRILink di Brebes Ini Pantang Menyerah Demi Meyakinkan Nasabah",NEGATIF
202,"Rahayu Saraswati, Putri Hashim Resmi Genggam 5% Saham Perintis Triniti (TRIN)",NETRAL
203,"Emas 59 Kg Hilang, BRI Dihukum Ganti Uang Nasabah Rp 42 Miliar",NEGATIF
204,BRI Buyback Saham Sebesar Rp 3 Triliun,POSITIF
205,Mantri BRI Cantik Ini Tunjukkan Manisnya Perbankan ke Pedagang Cendol,NETRAL
206,"Beralih ke Syariah, Tak akan Ada Lagi Layanan BRI di Aceh",NEGATIF
207,"Waspada, Penipuan Modus Call Center BRI Palsu Kuras Rekening Nasabah",NEGATIF
208,"Video: Contek Singapura-China, Ini Tujuan RI Bangun Ekosistem Bullion",NETRAL
209,"Berburu Mobil Baru Saat Akhir Pekan, Intip Promonya",POSITIF
210,Direksi Muda Baru di BRI Diharapkan Bisa Jawab Tantangan Neobank,NETRAL
211,"BRI Ungkap Strategi Jadi Hybrid Bank, Seperti Apa?",NETRAL
212,Dahlan Iskan Besuk Pegawai BRI yang Ditahan Terkait Penggelapan Emas,NEGATIF
213,Siasat Pensiun Ala Warren Buffet Agar Tetap Kaya Raya di Hari Tua,NEGATIF
214,Fitch Naikkan Peringkat BRI Jadi AAA dengan Outlook Stabil,POSITIF
215,"BI Sudah Jor-joran, Bunga Kredit Bank Baru Turun Seiprit!",NETRAL
216,"Capai Rekor Tertinggi, Saham BBRI Diprediksi Tembus Rp 6.200",POSITIF
217,BEI dan KSEI Resmi Buka Data Pemegang Saham di Atas 1%,NETRAL
218,Aset BRI Bakal Jadi yang Terbesar Setelah Rights Issue,POSITIF
219,Eks Pimpinan BRI Divonis 3 Tahun Penjara Atas Penggelapan 59 Kg Emas,NEGATIF
220,"Dipecat, Eks Karyawan BRI Tuntut Pesangon",NEGATIF
221,Bos LPS: Bank Syariah Kini Lebih Menarik dari Konvensional,NETRAL
222,"BEI Sebut 8 Perusahaan Masuk Antrean IPO, 5 Aset Skala Besar",NETRAL
223,BRI Siap Ambil Posisi Market Leader ESG Company,POSITIF
224,"Perkuat Kinerja, Bumi Resources (BUMI) Segera Garap Tambang Mineral yang Diakuisisi",NETRAL
225,"IHSG Rebound Jelang Libur Panjang Lebaran, Cermati Saham yang Banyak Diborong Asing",NETRAL
226,"Jayamas Medica Industri (OMED) Targetkan Pendapatan Rp 2,3 Triliun di 2026",NETRAL
227,BRI Incar Volume Transaksi Rp 22 Triliun dari Program Laku Pandai,NETRAL
228,"Cari Pimpinan OJK Baru, Istana Sebut Upaya Percepatan",NETRAL
229,"IHSG Diproyeksi Sideways pada Jumat (13/3), Simak Saham Rekomendasi Analis",NETRAL
230,"BRI Kantongi Laba Rp 24,88 Triliun pada Semester I 2022, Tumbuh 98,38 Persen",POSITIF
231,"RMK Energy (RMKE) Perdana Buyback Saham, Tahap Pertama Beli 2,37 Juta",NETRAL
232,BRI Danareksa Sekuritas Rilis Sistem Online Trading Syariah,POSITIF
233,BRI Agro Raih Top Smart Operation In Banking Industry 2020,POSITIF
234,Purbaya Bocorkan Proses Pansel Ketua OJK Definitif Selesai dalam Dua Pekan,NETRAL
235,Ratusan Nasabah BRI Tertipu Kredit Online di Sulsel,NEGATIF
236,Akuisisi Bahana oleh BRI Segera Rampung,NETRAL
237,"Video: Investasi Jumbo PMI: Bangun Pabrik, Lab & Berdayakan Ribuan SDM",NEGATIF
238,"IHSG Berpeluang Terkoreksi Terbatas pada Senin (19/1), Simak Proyeksi sahamnya",NETRAL
239,"Bank BRI Tebar Dividen Jumbo Rp43,4 T, Simak Jadwalnya!",POSITIF
240,BRI Optimistis Penyaluran Kredit Tumbuh hingga 11 Persen pada Akhir 2022,POSITIF
241,BI Rate Turun Tak Pengaruhi Kinerja BRI,POSITIF
242,Maybank (BNII) Bidik Naik Kelas Jadi Big Bank 2 Tahun Lagi,NEGATIF
243,"Hindari Pungli, Pembayaran SIM, BPKB dan STNK Lewat BRI",POSITIF
244,"Dalam Sehari, 2 ATM BRI di Pekanbaru Disikat Perampok",NEGATIF
245,"BRI Bagi Dividen Rp 26,4 Triliun, Erick Thohir Bilang Begini",NETRAL
246,"2 Pembakar ATM BRI Yogya Dibui 1,5 Tahun",NEGATIF
247,"Kembangkan UMK, BRI Beri Layanan untuk Perseroan Perseorangan",NETRAL
248,BRI Fasilitasi BPKH Sediakan Uang Riyal bagi Jemaah Haji,POSITIF
249,"Kinerja Saham Big Banks Melemah, BBCA Catat Penurunan Terdalam Rabu (21/1)",NETRAL
250,Kemenkop UKM dan BRI Pacu Kebangkitan UMKM Lewat Subsidi Bunga KUR,POSITIF
251,Pandu Sjahrir: Reformasi Bursa RI Jangan Berhenti di Target MSCI,NEGATIF
252,"Curi Uang ATM Rp 1,39 M, Pegawai Kontrak BRI Jadi Tersangka",NEGATIF
253,"Komplotan Pembobol ATM BRI Ditangkap Polisi, Kerugian Capai Ratusan Juta",NEGATIF
254,"Saham Big Banks Kompak Melemah Rabu (4/3), BBNI Catat Penurunan Terdalam",NETRAL
255,"Kantor BRI Garut Diteror Bom, Polisi: Clear dan Aman",NEGATIF
256,"Indeks Dolar AS Makin Perkasa Tembus 100, Valas Asia Makin Tertekan",NETRAL
257,"Cuma Butuh 9 Bulan, Laba BRI Sentuh Rp 39,31 Triliun",POSITIF
258,Penguatan Harga Minyak Dunia Jadi Katalis Positif Emiten Migas,NETRAL
259,Bank BRI Ajak Masyarakat Bangkit di Tengah Pandemi COVID-19,POSITIF
260,"CMRY Kejar Pertumbuhan Kinerja Berkelanjutan, Ini Prospeknya untuk Jangka Panjang",NETRAL
261,"Hari Sumpah Pemuda, BRI Semangati Mahasiswa Lewat Buku",POSITIF
262,"BRI Tebar Dividen Rp 174,23 per Saham, Ini Jadwal Pembagiannya",POSITIF
263,"Harga Emas & Nikel Naik, Pendapatan Antam (ANTM) Diproyeksi Tembus Rp 126 Triliun",NETRAL
264,"Harga Emas Antam Turun Rp 16.000 Jadi Rp 2.488.000 per Gram Hari Ini, Sabtu (3/1)",NETRAL
265,"Ini Barang Bukti Rp 6,7 Miliar yang Dirampok dari BRI Tulang Bawang",NEGATIF
266,Indeks Bisnis-27 Ditutup Melemah Terimpit Saham INCO dan BRPT,NETRAL
267,"Ramai Emiten Ganti Pemegang Saham Pengendali, Begini Catatan Analis",NETRAL
268,Sejumlah Emiten Akan Cum Date Dividen Interim pada Awal Januari 2026,NETRAL
269,"UMKM EXPO(RT) BRILianpreneur 2022 Dinilai Sukses, Mau Bukti?",POSITIF
270,Intip Laju Saham BBRI Sesi I Hari Ini 29 Desember 2022,NETRAL
271,"Bobol Brankas Rp 2,9 Miliar, Kepala Unit BRI Dibui 4 Tahun",NEGATIF
272,"Harga Emas Spot Turun Lebih dari 1% pada Senin (16/2), Investor Profit Taking",NETRAL
273,Jurus BRI Cetak Kinerja Positif hingga Kuartal III 2021,POSITIF
274,"Video: Bersaing Dengan China, Baja Ringan RI Sulit Tembus Pasar ASEAN",NEGATIF
275,7 Aplikasi Trading Emas Terbaik untuk Pemula,NETRAL
276,KUR Online BRI Bantu Pengusaha Konveksi Tingkatkan Skala Usaha,POSITIF
277,"Di Tengah Ketidakpastian, BRI Optimistis Jaga Pertumbuhan",POSITIF
278,"Komitmen Memajukan UMKM, BRI Gelar Bazaar Klaster Mantriku",POSITIF
279,"Sasar Anak Muda, Produsen Taro (AISA) Genjot Penjualan Mie Kremezz",NEGATIF
280,"Pelayaran Nasional (ELPI) Akan Gelar Rights Issue, Terbitkan 2,03 Miliar Saham Baru",NETRAL
281,Begini Pengakuan Pengunggah Struk BRI Berisi Lirik Lagu Ed Sheeran,NEGATIF
282,"Update Terbaru Bursa Saham Asia, Raksasa Chip Taiwan TSMC Jadi Sorotan",NETRAL
283,BRI Beri Penghargaan untuk Mitra dan Unit Kerja Terbaik,POSITIF
284,"Wall Street: S&P 500 dan Dow Jones Naik, Didorong Rilis Kinerja Perusahaan Teknologi",NETRAL
285,"Pasca Pandemi, Sunarso Bawa BRI Semakin Cemerlang",POSITIF
286,BRI Bidik Pertumbuhan Kredit 10% di 2020,POSITIF
287,"BRI Bagi Dividen 85%, Pemegang Saham Dapat Rp 43,5 Triliun",NETRAL
288,Mulai 1 Juli Pembayaran SSB Dilakukan di ATM BRI,NETRAL
289,Jaksa DSW Kenal Pegawai BRI Lewat Perantara 2 Orang Polisi,NEGATIF
290,Bareskrim Polri Terima Laporan Dugaan Kebocoran Data Nasabah BRI Life,NEGATIF
291,"Asing Net Buy Jumbo Rp 1,02 Triliun Saat IHSG Ambruk, Cek Saham yang Diborong",NETRAL
